                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.74836,                0.64454,                 1.1134,                0.91894,                0.89041,                0.95012,                 0.8402,                0.60186,                0.57783,                 1.0721,               0.008317,               0.008317,               0.008317
                     37,                0.73588,                0.65259,                 1.1109,                0.92879,                0.91895,                0.94493,                0.83613,                0.58355,                0.54649,                 1.0393,              0.0082675,              0.0082675,              0.0082675
                     38,                 0.7448,                0.66191,                 1.1098,                0.92053,                0.86887,                0.93545,                0.82913,                 0.5865,                0.63032,                 1.0697,               0.008218,               0.008218,               0.008218
                     39,                0.72957,                0.65127,                 1.1031,                0.94502,                0.92954,                0.96818,                0.86017,                0.58246,                 0.4768,                 1.0625,              0.0081685,              0.0081685,              0.0081685
                     40,                0.71727,                0.63244,                 1.0974,                0.94084,                0.86888,                0.91859,                0.82422,                0.58314,                0.61658,                 1.1019,               0.008119,               0.008119,               0.008119
                     41,                0.72021,                0.61065,                 1.0965,                0.92927,                0.91633,                0.95998,                0.85024,                0.56828,                0.47898,                 1.0475,              0.0080695,              0.0080695,              0.0080695
                     42,                0.70378,                0.61891,                 1.0894,                0.93625,                0.93069,                0.96081,                0.85796,                0.56958,                0.43292,                 1.0546,                0.00802,                0.00802,                0.00802
                     43,                0.71046,                0.61299,                  1.095,                  0.916,                0.93209,                0.95957,                0.84886,                0.58661,                 0.4717,                   1.09,              0.0079705,              0.0079705,              0.0079705
                     44,                0.70911,                 0.6049,                 1.0892,                0.94844,                0.89481,                0.94976,                0.84676,                0.57371,                0.52021,                 1.0612,               0.007921,               0.007921,               0.007921
                     45,                0.70019,                 0.6091,                 1.0801,                0.94809,                0.90212,                0.95379,                0.84423,                0.59321,                  0.514,                 1.0643,              0.0078715,              0.0078715,              0.0078715
                     46,                0.71422,                0.61153,                  1.099,                0.92988,                0.87518,                0.92223,                0.82647,                0.56835,                 0.6164,                  1.069,               0.007822,               0.007822,               0.007822
                     47,                0.68973,                0.60175,                 1.0827,                0.95406,                0.89602,                0.95859,                0.85235,                0.54867,                0.49666,                 1.0274,              0.0077725,              0.0077725,              0.0077725
                     48,                0.69396,                0.60629,                 1.0808,                0.90449,                0.91836,                0.94848,                0.85704,                 0.5693,                0.48263,                 1.0635,               0.007723,               0.007723,               0.007723
                     49,                0.69601,                0.60719,                 1.0917,                0.89537,                0.93013,                0.95906,                0.85688,                0.57038,                0.48005,                 1.0389,              0.0076735,              0.0076735,              0.0076735
                     50,                0.68162,                0.58506,                 1.0811,                0.92512,                0.90059,                0.95009,                0.84681,                0.57408,                0.54072,                 1.0662,               0.007624,               0.007624,               0.007624
