                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    156,                0.52236,                 0.4054,                0.99547,                0.92779,                0.92367,                0.95407,                0.87899,                0.44795,                0.42112,                0.95621,               0.002377,               0.002377,               0.002377
                    157,                0.51723,                0.40485,                0.99541,                0.93881,                0.92548,                0.95985,                0.89015,                0.44316,                0.39982,                0.94905,              0.0023275,              0.0023275,              0.0023275
                    158,                0.52544,                0.40608,                 1.0018,                0.93915,                0.92566,                0.95906,                0.89092,                0.44015,                 0.3909,                0.94707,               0.002278,               0.002278,               0.002278
                    159,                0.51845,                0.40435,                 1.0005,                0.93891,                0.92971,                0.95792,                0.89187,                0.44092,                0.37583,                0.94981,              0.0022285,              0.0022285,              0.0022285
                    160,                0.52568,                0.41139,                0.99655,                0.92942,                0.92067,                0.95775,                0.88654,                0.43875,                0.42107,                0.94773,               0.002179,               0.002179,               0.002179
                    161,                0.51334,                0.40923,                0.99407,                0.91339,                0.93128,                0.95504,                 0.8867,                0.43457,                0.42393,                0.94198,              0.0021295,              0.0021295,              0.0021295
                    162,                0.50879,                0.40458,                0.99377,                0.90742,                0.92102,                0.94395,                0.87561,                0.44098,                0.44625,                 0.9549,                0.00208,                0.00208,                0.00208
                    163,                0.52456,                0.41411,                 1.0026,                0.94856,                0.91171,                0.95248,                0.88617,                0.42682,                0.41233,                0.93775,              0.0020305,              0.0020305,              0.0020305
                    164,                0.50921,                0.39382,                0.99001,                0.94402,                0.91967,                0.95294,                0.88612,                0.43549,                0.38821,                0.94739,               0.001981,               0.001981,               0.001981
                    165,                0.50558,                0.39484,                0.99027,                0.91358,                0.92964,                0.96051,                0.88804,                0.44233,                0.41543,                0.94936,              0.0019315,              0.0019315,              0.0019315
                    166,                0.50359,                0.39705,                0.99196,                0.94707,                0.92889,                 0.9633,                0.88957,                0.44025,                0.39687,                0.95217,               0.001882,               0.001882,               0.001882
                    167,                0.51158,                  0.398,                0.99079,                0.93979,                0.92227,                0.96784,                0.89487,                  0.437,                0.39274,                0.94905,              0.0018325,              0.0018325,              0.0018325
                    168,                0.51398,                0.40019,                0.99795,                0.93585,                 0.9211,                0.96444,                0.88982,                0.43531,                0.40907,                0.94142,               0.001783,               0.001783,               0.001783
                    169,                0.50996,                0.39384,                0.99761,                0.92049,                0.91901,                0.96985,                0.89314,                0.43824,                0.42664,                0.93886,              0.0017335,              0.0017335,              0.0017335
                    170,                0.50625,                0.39556,                0.99198,                0.94252,                0.92592,                0.96318,                0.89469,                0.43191,                0.38975,                0.94203,               0.001684,               0.001684,               0.001684
                    171,                0.51133,                0.40109,                0.99415,                0.93175,                0.92492,                0.95443,                0.88387,                0.44325,                0.40423,                 0.9515,              0.0016345,              0.0016345,              0.0016345
                    172,                0.50256,                0.39738,                0.99314,                  0.915,                0.92766,                0.95224,                0.88346,                 0.4391,                0.42116,                0.94625,               0.001585,               0.001585,               0.001585
                    173,                0.50474,                0.39506,                0.98657,                0.92622,                0.92357,                0.95328,                0.88057,                0.43833,                0.40849,                0.94336,              0.0015355,              0.0015355,              0.0015355
                    174,                0.50559,                0.39449,                0.99103,                0.94286,                0.92292,                0.95738,                 0.8893,                0.42804,                 0.3921,                0.93826,               0.001486,               0.001486,               0.001486
                    175,                0.50718,                0.39287,                0.99235,                0.92039,                0.93024,                0.96126,                0.88893,                0.43026,                0.41036,                0.93377,              0.0014365,              0.0014365,              0.0014365
                    176,                0.49016,                0.39152,                0.98793,                0.92259,                0.92653,                0.95594,                0.88691,                0.43653,                0.40162,                0.94382,               0.001387,               0.001387,               0.001387
                    177,                0.49835,                0.39096,                0.98589,                0.94312,                0.92474,                0.96663,                0.89577,                0.42985,                0.38704,                0.93462,              0.0013375,              0.0013375,              0.0013375
                    178,                0.50391,                0.38978,                0.99657,                0.92992,                0.92606,                 0.9668,                0.89845,                0.43831,                0.38332,                0.94475,               0.001288,               0.001288,               0.001288
                    179,                0.49906,                0.39035,                0.99383,                0.93204,                0.92828,                 0.9708,                0.90148,                0.42811,                0.37968,                0.93414,              0.0012385,              0.0012385,              0.0012385
                    180,                 0.5012,                0.38975,                0.98853,                0.94562,                0.92047,                0.96474,                 0.8977,                0.42456,                0.36862,                 0.9328,               0.001189,               0.001189,               0.001189
                    181,                0.49695,                0.38249,                0.98727,                0.93111,                0.92531,                0.96342,                0.89949,                0.42226,                0.37052,                0.93038,              0.0011395,              0.0011395,              0.0011395
                    182,                0.50149,                0.37873,                0.99436,                0.92595,                0.92557,                0.95893,                0.88887,                0.43431,                0.38724,                0.94194,                0.00109,                0.00109,                0.00109
                    183,                0.49307,                0.38751,                0.99166,                0.93079,                0.92863,                 0.9569,                0.88534,                0.43164,                0.40258,                0.94073,              0.0010405,              0.0010405,              0.0010405
                    184,                0.48439,                0.37375,                0.98432,                0.93075,                0.93034,                0.95769,                0.88747,                0.42649,                0.38946,                 0.9358,               0.000991,               0.000991,               0.000991
                    185,                0.48216,                0.37504,                0.97741,                0.93495,                0.92815,                0.95975,                0.89152,                0.42323,                0.37828,                0.93182,              0.0009415,              0.0009415,              0.0009415
                    186,                 0.4808,                0.37088,                0.98062,                0.93031,                0.92615,                0.95816,                0.88777,                0.42715,                0.37851,                0.93744,               0.000892,               0.000892,               0.000892
                    187,                0.48516,                0.37264,                0.98349,                0.93974,                0.92585,                0.95768,                 0.8919,                0.42226,                0.36466,                0.93318,              0.0008425,              0.0008425,              0.0008425
                    188,                0.48784,                0.36812,                0.98032,                0.94682,                0.92287,                0.96006,                0.88889,                0.42471,                0.36926,                0.93531,               0.000793,               0.000793,               0.000793
                    189,                0.49327,                0.37668,                0.98517,                0.94037,                0.92334,                0.95723,                0.88682,                0.42559,                0.37654,                0.93313,              0.0007435,              0.0007435,              0.0007435
                    190,                0.47941,                0.36666,                0.98086,                0.93433,                0.92268,                0.95335,                0.88583,                0.43091,                0.38286,                0.93652,               0.000694,               0.000694,               0.000694
                    191,                0.31848,                0.21862,                0.87248,                0.93988,                0.91067,                 0.9559,                 0.8822,                0.44627,                0.39605,                 0.9507,              0.0006445,              0.0006445,              0.0006445
                    192,                0.30883,                0.20538,                0.86886,                 0.9435,                0.92107,                0.95847,                0.88582,                0.44599,                0.39346,                0.95271,               0.000595,               0.000595,               0.000595
                    193,                0.30827,                0.20262,                0.86671,                 0.9482,                0.92255,                0.96239,                0.88746,                0.44256,                0.39948,                0.94815,              0.0005455,              0.0005455,              0.0005455
                    194,                0.30152,                0.19814,                0.86729,                0.94656,                0.92114,                0.96113,                0.88944,                0.43872,                0.39873,                0.94504,               0.000496,               0.000496,               0.000496
                    195,                0.30525,                0.20027,                0.86654,                0.94908,                0.92176,                0.95713,                0.88838,                0.43667,                0.40234,                0.94237,              0.0004465,              0.0004465,              0.0004465
                    196,                 0.3048,                0.19461,                0.86643,                0.95096,                0.92566,                0.95404,                0.88441,                0.43461,                0.39906,                0.94211,               0.000397,               0.000397,               0.000397
                    197,                0.30093,                0.19651,                0.85978,                0.94615,                0.92511,                 0.9552,                0.88616,                0.42969,                0.40553,                0.93685,              0.0003475,              0.0003475,              0.0003475
                    198,                0.30214,                0.19033,                0.86032,                 0.9465,                0.92227,                0.95553,                0.88598,                0.43064,                0.40132,                 0.9374,               0.000298,               0.000298,               0.000298
                    199,                0.29901,                0.18958,                0.86655,                0.94711,                0.92302,                0.95771,                0.88922,                0.43049,                0.39981,                0.93687,              0.0002485,              0.0002485,              0.0002485
                    200,                0.29589,                0.19046,                0.85811,                0.94796,                0.92209,                0.95744,                0.88825,                0.42896,                0.40139,                0.93599,               0.000199,               0.000199,               0.000199
